Mes,Pais,Pais_join,fob_total,kg_total,CIIU,fob_ciiu
12,Chipre,CYPRUS,22884.5,4998.63,Fabricación de productos de la refinación del petróleo,13100
12,Colombia,COLOMBIA,1554496.02,53808.96,"Descafeinado, tostión y molienda del café",270363.39
12,Corea del Norte,NORTH KOREA,7843,1343,Cultivo de flor de corte,7843
12,Corea del Sur,SOUTH KOREA,108301605.38000001,1392262362.24,Extracción de hulla (carbón de piedra),86416556.46000001
12,Costa De Marfil,COTE D'IVOIRE,610142.97,246415.35,"Elaboración de cacao, chocolate y productos de confitería",226316.75
12,Costa Rica,COSTA RICA,31973564.15,10495490.97,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",3139647.84
12,Croacia,CROATIA,4718055.08,71355797.2,Extracción de hulla (carbón de piedra),4341698.28
12,Cuba,CUBA,6175824.68,3693958.32,Cría de aves de corral,1204248.44
12,Dinamarca,DENMARK,1507111.19,695412.79,Trilla de café,1146373.08
12,Dominica,DOMINICA,64296.31,54289.78,Fabricación de otros productos químicos n.c.p.,24185.4
12,Ecuador,ECUADOR,169376918.99,63176054.06,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",18560196.91
12,Egipto,EGYPT,18774020.79,162587707.29,Extracción de hulla (carbón de piedra),10093238.29
12,El Salvador,EL SALVADOR,17629547.41,5789190.09,"Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",3254711.59
12,Emiratos Árabes Unidos,UNITED ARAB EMIRATES,130797901.60000001,1021568.78,Industrias básicas de metales preciosos,114137998.78
12,Eslovaquia,SLOVAKIA,235656.59,211099.32,Procesamiento y conservación de carne y productos cárnicos,103910.41
12,Eslovenia,SLOVENIA,7498780.66,14368811.96,Cultivo de plátano y banano,6977652.95
12,España,SPAIN,61526655.08,114338478.63,Fabricación de productos de la refinación del petróleo,13307433.47
12,Estados Unidos,UNITED STATES,1115256407.79,563396555.27,Industrias básicas de metales preciosos,279518987.39
12,Estonia,ESTONIA,1658146.3699999999,305584.5,Trilla de café,1076475.93
12,Etiopía,ETHIOPIA,699289.79,11359.2,Actividades de impresión,678180
12,Filipinas,PHILIPPINES,330864.9,39568.26,Fabricación de artículos de plástico n.c.p.,153669.9
12,Finlandia,FINLAND,10176418.790000001,10589853.87,Trilla de café,7628817.35
12,Francia,FRANCE,26620530.529999997,43932972.1,Trilla de café,8357250.989999999
12,Gabón,GABON,222405.40999999997,125420.06,"Elaboración de cacao, chocolate y productos de confitería",113697.12
12,Georgia,GEORGIA,25733917.43,1758355.54,Extracción de otros minerales metalíferos no ferrosos n.c.p.,25718642.83
12,Ghana,GHANA,571243.7,156694.57,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",246960
