Mes,Pais,Pais_join,Nivel tecnologico,fob_total,kg_total
8,Corea del Sur,COREA DEL SUR,Otras transacciones,2.4,3.2
8,Costa De Marfil,COSTA DE MARFIL,Manufacturas basadas en recursos naturales,268457.12,118211.1
8,Costa De Marfil,COSTA DE MARFIL,Manufacturas de alta tecnología,140304.07,670.89
8,Costa De Marfil,COSTA DE MARFIL,Manufacturas de baja tecnología,300523.53,76427.71
8,Costa De Marfil,COSTA DE MARFIL,Manufacturas de tecnología media,562146.71,24075.26
8,Costa De Marfil,COSTA DE MARFIL,Otras transacciones,41.86,0.9400000000000001
8,Costa Rica,COSTA RICA,Bienes primarios,1272272.79,1000096.0900000001
8,Costa Rica,COSTA RICA,Manufacturas basadas en recursos naturales,8387729.87,4948013.48
8,Costa Rica,COSTA RICA,Manufacturas de alta tecnología,2119674.55,118753.79
8,Costa Rica,COSTA RICA,Manufacturas de baja tecnología,8728040.8,1768747.67
8,Costa Rica,COSTA RICA,Manufacturas de tecnología media,11289049.51,3721619.68
8,Costa Rica,COSTA RICA,Otras transacciones,38065.36,4036.7799999999997
8,Croacia,CROACIA,Bienes primarios,15565,1324
8,Croacia,CROACIA,Manufacturas basadas en recursos naturales,27339.75,49000
8,Cuba,CUBA,Bienes primarios,625797.67,442747.8
8,Cuba,CUBA,Manufacturas basadas en recursos naturales,3319341.78,9034284.17
8,Cuba,CUBA,Manufacturas de alta tecnología,350786.09,52818.8
8,Cuba,CUBA,Manufacturas de baja tecnología,167904.43,35349.92
8,Cuba,CUBA,Manufacturas de tecnología media,834651.32,583801.77
8,Dinamarca,DINAMARCA,Bienes primarios,530929.65,442313.08
8,Dinamarca,DINAMARCA,Manufacturas basadas en recursos naturales,229544.32,25296
8,Dinamarca,DINAMARCA,Manufacturas de alta tecnología,2965.18,33.77
8,Dinamarca,DINAMARCA,Manufacturas de tecnología media,71799.94,1258.88
8,Djibouti,DJIBOUTI,Manufacturas de tecnología media,239924,15717
8,Dominica,DOMINICA,Bienes primarios,37047,961.5
8,Dominica,DOMINICA,Manufacturas basadas en recursos naturales,64662.340000000004,36944.8
8,Dominica,DOMINICA,Manufacturas de baja tecnología,4,41
8,Dominica,DOMINICA,Manufacturas de tecnología media,2775.5,6458
8,Ecuador,ECUADOR,Bienes primarios,9865136.34,6390582.02
8,Ecuador,ECUADOR,Manufacturas basadas en recursos naturales,28258337.4,25194419.35
8,Ecuador,ECUADOR,Manufacturas de alta tecnología,11261331.02,1528159.85
8,Ecuador,ECUADOR,Manufacturas de baja tecnología,27420798.05,5373715.98
8,Ecuador,ECUADOR,Manufacturas de tecnología media,53371931.55,14382780.44
8,Ecuador,ECUADOR,Otras transacciones,812360.79,38876.740000000005
8,Egipto,EGIPTO,Bienes primarios,1066670.6300000001,136993
8,Egipto,EGIPTO,Manufacturas basadas en recursos naturales,11309.6,69614.2
8,Egipto,EGIPTO,Manufacturas de alta tecnología,6350.610000000001,9
8,Egipto,EGIPTO,Manufacturas de baja tecnología,10,8
8,Egipto,EGIPTO,Manufacturas de tecnología media,35815.63,5307
8,El Salvador,EL SALVADOR,Bienes primarios,1495438.74,133458.27000000002
8,El Salvador,EL SALVADOR,Manufacturas basadas en recursos naturales,2840525.36,3334841.4899999998
8,El Salvador,EL SALVADOR,Manufacturas de alta tecnología,4597697.41,337052.89
8,El Salvador,EL SALVADOR,Manufacturas de baja tecnología,2606484.38,568824.25
8,El Salvador,EL SALVADOR,Manufacturas de tecnología media,4653197.43,1199891.48
8,El Salvador,EL SALVADOR,Otras transacciones,43010.84,2058.35
8,Emiratos Árabes Unidos,EMIRATOS ARABES UNIDOS,Bienes primarios,3220601.02,507587.61
8,Emiratos Árabes Unidos,EMIRATOS ARABES UNIDOS,Manufacturas basadas en recursos naturales,1072399.49,579985.91
8,Emiratos Árabes Unidos,EMIRATOS ARABES UNIDOS,Manufacturas de alta tecnología,767478.8200000001,7709.6
8,Emiratos Árabes Unidos,EMIRATOS ARABES UNIDOS,Manufacturas de baja tecnología,84090.78,3120.35
8,Emiratos Árabes Unidos,EMIRATOS ARABES UNIDOS,Manufacturas de tecnología media,254520.39,3888.8199999999997
8,Emiratos Árabes Unidos,EMIRATOS ARABES UNIDOS,Otras transacciones,76464769.91999999,898.53
