Mes,Departamento,Departamento_join,fob_total,kg_total,Nivel tecnologico,fob_tecnologia,Pais,fob_pais,CIIU,fob_ciiu
8,Cesar,CESAR,127328579.89,1527064231.9,Bienes primarios,127089803.52,Corea del Sur,19432134.68,Extracción de hulla (carbón de piedra),124765266.56
8,Chocó,CHOCO,2141760.92,1044559.71,Otras transacciones,1239949.17,Emiratos Árabes Unidos,1239949.17,Industrias básicas de metales preciosos,1641930.04
8,Cundinamarca,CUNDINAMARCA,179466144.5999999,96267837.19,Bienes primarios,98434540.86999992,Estados Unidos,75884814.8999999,Cultivo de flor de corte,64355109.01999991
8,Córdoba,CORDOBA,52577086.39,36182576.69,Manufacturas de tecnología media,41070788.21,China,28917514.06,Industrias básicas de hierro y de acero,41011863.21
8,Guainía,GUAINIA,1170,248.5,Manufacturas de baja tecnología,1170,Ecuador,1170,"Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería",1170
8,Guajira,LA GUAJIRA,3723628.95,2069629.26,Manufacturas de tecnología media,2396967.45,Venezuela,3671103.47,Fabricación de plásticos en formas primarias,1089696.6
8,Guaviare,GUAVIARE,104.5,13.92,Manufacturas de tecnología media,104.5,Ecuador,104.5,"Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas",104.5
8,Huila,HUILA,149153245.59,20064297.26,Bienes primarios,149098496.79,Estados Unidos,56510868.61,Trilla de café,141947004.87
8,Magdalena,MAGDALENA,81328562.32,123564274.02,Bienes primarios,80457233.71,Estados Unidos,31251497.54,Cultivo de plátano y banano,64622670.87
8,Meta,META,35223106,77841679.87,Bienes primarios,34860881.269999996,Panamá,17126748.02,Extracción de petróleo crudo,34220991.17
8,Nariño,NARINO,16350747.88,2046694.62,Bienes primarios,16086552.4,Estados Unidos,6418193.94,Trilla de café,15916645.22
8,Norte de Santander,NORTE DE SANTANDER,63772863.62,349656416.73,Manufacturas basadas en recursos naturales,37203869.21,Bélgica,22055835.52,Fabricación de productos de hornos de coque,31672526.759999998
8,Putumayo,PUTUMAYO,319000,16800,Manufacturas de tecnología media,319000,Perú,319000,Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.,319000
8,Quindío,QUINDIO,21148193.55,3705688.15,Bienes primarios,19926225.73,Estados Unidos,8331089.21,Trilla de café,17898291.19
8,Risaralda,RISARALDA,51858724.57,17870686.77,Manufacturas basadas en recursos naturales,17828063.07,Estados Unidos,19404387.98,"Fabricación de motores, generadores y transformadores eléctricos",15409584.28
8,Santander,SANTANDER,53479076.38,32562916.74,Bienes primarios,30794059.220000003,Estados Unidos,13175902.72,Fabricación de productos de la refinación del petróleo,15385101.780000001
8,Sucre,SUCRE,260100,198263,Bienes primarios,194602,Estados Unidos,106418,Elaboración de productos de molinería,84042
8,Tolima,TOLIMA,14846449.950000001,1656267.57,Bienes primarios,14258660.23,Estados Unidos,6707653.7700000005,Otros derivados del café,7479376.9
8,Valle del Cauca,VALLE DEL CAUCA,207040608.23,107649589.5,Manufacturas basadas en recursos naturales,69809930.04,Estados Unidos,53972285.79,Trilla de café,27929893.32
9,Amazonas,AMAZONAS,2083.2,144,Manufacturas de alta tecnología,2083.2,Brasil,2083.2,Fabricación de equipos de comunicación,2083.2
9,Antioquia,ANTIOQUIA,1113334506.73,241782181.74,Bienes primarios,534696412.6,Estados Unidos,232652031.76999998,Industrias básicas de metales preciosos,390421654.51
9,Arauca,ARAUCA,136397.53,153177.75,Manufacturas de tecnología media,93228.19,Venezuela,136149.08000000002,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",85132.19
9,Atlántico,ATLANTICO,161908995.66,46856759.07,Manufacturas de baja tecnología,75003241.44,Estados Unidos,71895615.87,Fabricación de productos metálicos para uso estructural,51696293.62
9,Bogotá,BOGOTA D.C.,544269467.73,161050176.92,Bienes primarios,288009286.3,Estados Unidos,202096408.95,Trilla de café,195029890.17000002
9,Bolívar,BOLIVAR,199708783.38,135688498.36,Manufacturas de tecnología media,136850991.48,Brasil,85507489.92999999,Fabricación de plásticos en formas primarias,72471584.02
9,Boyacá,BOYACA,47305329.78,163007244.06,Manufacturas basadas en recursos naturales,45688369.11,Brasil,29802415.61,Fabricación de productos de hornos de coque,38861992.86
9,Caldas,CALDAS,85755421.35,18960939.13,Bienes primarios,55417925.26,Estados Unidos,17342176.57,Trilla de café,41476395.92
9,Casanare,CASANARE,60656730.44,140341479,Bienes primarios,60656730.44,Panamá,47091174.33,Extracción de petróleo crudo,60619495.44
9,Cauca,CAUCA,15070906.62,12036403.209999999,Manufacturas basadas en recursos naturales,6048812.47,Costa Rica,2343792.9299999997,Elaboración y refinación de azúcar,4668743.7
9,Cesar,CESAR,209115471.27,2699783217.92,Bienes primarios,208768716.55,Corea del Sur,39880258.87,Extracción de hulla (carbón de piedra),206071272.52
9,Chocó,CHOCO,2067959.51,1771607.33,Otras transacciones,1362225.06,Emiratos Árabes Unidos,1362225.06,Industrias básicas de metales preciosos,1499811.47
9,Cundinamarca,CUNDINAMARCA,230342988.45,309492489.25,Bienes primarios,112305098.99,Estados Unidos,72383325.03,Cultivo de flor de corte,55163703.79
9,Córdoba,CORDOBA,53757558.21,121231292.99,Manufacturas de tecnología media,36330025.65,China,30417350.810000002,Industrias básicas de hierro y de acero,36310160.65
9,Guajira,LA GUAJIRA,127725114.32,1417929387.58,Bienes primarios,125965918.19,México,35597074.33,Extracción de hulla (carbón de piedra),125624623.96
9,Huila,HUILA,143161957.86999997,18721019,Bienes primarios,143115304.04,Estados Unidos,47962002.94999999,Trilla de café,136921999.52999997
9,Magdalena,MAGDALENA,73912746.65,131504639.13,Bienes primarios,73501250.47,Estados Unidos,35779149.4,Cultivo de plátano y banano,70883221.82
9,Meta,META,34304383.339999996,77884850.39,Bienes primarios,33947752.43,Panamá,16993449.41,Extracción de petróleo crudo,31635712.72
9,Nariño,NARINO,10302261.34,2353689.72,Bienes primarios,9902447.98,Bélgica,3781751.97,Trilla de café,8909434
9,Norte de Santander,NORTE DE SANTANDER,101291693.94,692219805.32,Bienes primarios,45987099.51,Venezuela,14047422.91,Extracción de hulla (carbón de piedra),45236560.11
9,Putumayo,PUTUMAYO,12968268.68,32007633,Bienes primarios,12968268.68,Perú,12968268.68,Extracción de petróleo crudo,12968268.68
9,Quindío,QUINDIO,15402153.020000001,3188289.05,Bienes primarios,13988978.88,Estados Unidos,6386109.4,Trilla de café,11712450
9,Risaralda,RISARALDA,67214193.38,16057066.43,Manufacturas de alta tecnología,23546818.61,Estados Unidos,24722744.61,"Fabricación de motores, generadores y transformadores eléctricos",20577577.71
9,Santander,SANTANDER,39505882.11,31447208.14,Manufacturas basadas en recursos naturales,20326126.62,Estados Unidos,13553294.27,Fabricación de productos de la refinación del petróleo,17759591.47
9,Sucre,SUCRE,55041819.25,133181255,Bienes primarios,54708289.62,Estados Unidos,19169825.549999997,Extracción de petróleo crudo,54531927.79
9,Tolima,TOLIMA,10775245.6,927605.55,Bienes primarios,10576455.03,Estados Unidos,6087055.31,Otros derivados del café,6307511.02
9,Valle del Cauca,VALLE DEL CAUCA,215956192.54,102780754.85,Manufacturas basadas en recursos naturales,69929740.02,Estados Unidos,58033482.28,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",27999204.63
9,Vaupés,VAUPES,6433.35,363.6,Manufacturas basadas en recursos naturales,6433.35,Perú,6433.35,"Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",6433.35
10,Antioquia,ANTIOQUIA,941521551.8199999,278884972.84000003,Otras transacciones,423366850.03,Estados Unidos,242662424.32,Industrias básicas de metales preciosos,423057985.47999996
10,Arauca,ARAUCA,16434.55,20906.05,Manufacturas de baja tecnología,9872.41,Venezuela,16046.45,Fabricación de otros artículos de papel y cartón,9495.31
10,Atlántico,ATLANTICO,162851175.26,70826904.49,Manufacturas de baja tecnología,68983632.66,Estados Unidos,81555507.04,Fabricación de productos metálicos para uso estructural,51255437.44
10,Bogotá,BOGOTA D.C.,501568500.96,122415429.52,Bienes primarios,213560725.09,Estados Unidos,177954918.71,Trilla de café,127005443.52
10,Bolívar,BOLIVAR,186997233.73,107418687.07,Manufacturas de tecnología media,134589814.17,Brasil,80353315.56,Fabricación de plásticos en formas primarias,76773240.71
10,Boyacá,BOYACA,15249264.24,57731096.48,Manufacturas basadas en recursos naturales,13766444.49,Brasil,11393526.69,Fabricación de productos de hornos de coque,11464814.18
10,Caldas,CALDAS,96063029.31,17812343.74,Bienes primarios,67734166.44,Estados Unidos,25650665.630000003,Trilla de café,56348557.49
10,Caquetá,CAQUETA,34482.619999999995,20252.73,Bienes primarios,34239.74,Venezuela,34239.74,Recolección de productos forestales diferentes a la madera,34239.74
10,Casanare,CASANARE,14757115.69,35223938.42,Bienes primarios,14755940.69,Estados Unidos,14757115.69,Extracción de petróleo crudo,14755940.69
10,Cauca,CAUCA,24221035.27,22568766.11,Manufacturas basadas en recursos naturales,12786572.17,Estados Unidos,4819713.49,Elaboración y refinación de azúcar,9660675.549999999
10,Cesar,CESAR,222835535.79000002,2931907515.29,Bienes primarios,222484641.84,Corea del Sur,52740990.11,Extracción de hulla (carbón de piedra),213810424.96
10,Chocó,CHOCO,354435.92,1064831.12,Manufacturas basadas en recursos naturales,354435.92,China,353854.11,Extracción de madera,338799.05
10,Cundinamarca,CUNDINAMARCA,210652824.27,183965123.15,Bienes primarios,103478792.65,Estados Unidos,71432093.76,Cultivo de flor de corte,62786214.68
10,Córdoba,CORDOBA,54492484.51,100847014.37,Manufacturas de tecnología media,41331514.6,China,36380239.269999996,Industrias básicas de hierro y de acero,41330449.6
10,Guainía,GUAINIA,2815.8,6.56,Manufacturas de alta tecnología,2815.8,Ecuador,2815.8,"Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",2815.8
10,Guajira,LA GUAJIRA,108637344.33,1320563654.52,Bienes primarios,106352675.79,México,59816932.82,Extracción de hulla (carbón de piedra),106079100.44
10,Huila,HUILA,166076220.1,20736838.49,Bienes primarios,165782721.99,Estados Unidos,66145155.46,Trilla de café,146227883.89000002
10,Magdalena,MAGDALENA,54597532.42,89276101.5,Bienes primarios,53096652.09,Estados Unidos,23188715.48,Cultivo de plátano y banano,47155496.31
10,Meta,META,18855410.37,40254206.33,Bienes primarios,18605229.91,Estados Unidos,16053014.290000001,Extracción de petróleo crudo,15985602.41
10,Nariño,NARINO,17828376.14,3081768.81,Bienes primarios,17717998.04,Estados Unidos,9617662.48,Trilla de café,17044806.86
10,Norte de Santander,NORTE DE SANTANDER,52935027.93,266928921.38,Manufacturas basadas en recursos naturales,30934965.189999998,Venezuela,10745926.14,Fabricación de productos de hornos de coque,27416225.34
10,Quindío,QUINDIO,21734141.06,3466364.47,Bienes primarios,20581138.14,Estados Unidos,5818789.6899999995,Trilla de café,17570373.61
10,Risaralda,RISARALDA,71469944.1,18720217.98,Bienes primarios,29328946.03,Estados Unidos,17000580.119999997,Trilla de café,15269520.61
10,Santander,SANTANDER,53687186.26,71903823.83,Manufacturas basadas en recursos naturales,23389942.75,Estados Unidos,17826648.150000002,Fabricación de productos de la refinación del petróleo,19739252.42
10,Sucre,SUCRE,56715677.42,147493711,Bienes primarios,56454658.17,Estados Unidos,56313244.67,Extracción de petróleo crudo,56281276.67
10,Tolima,TOLIMA,11527173.59,1021582.67,Bienes primarios,11062691.89,Estados Unidos,6344652.33,Otros derivados del café,6686512.8
10,Valle del Cauca,VALLE DEL CAUCA,232679908.33,114280498.63,Manufacturas basadas en recursos naturales,73443033.45,Estados Unidos,66996053.22,Trilla de café,40086030.93
11,Antioquia,ANTIOQUIA,783198916.5899999,292867719.58,Bienes primarios,325761179.8799999,Estados Unidos,233046789.6299999,Industrias básicas de metales preciosos,295511592.8
11,Arauca,ARAUCA,159982.67,141150.05,Manufacturas de tecnología media,102850.27,Venezuela,159800.77000000002,"Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",88333.57
11,Atlántico,ATLANTICO,157891510.5600001,58160695.73,Manufacturas de baja tecnología,67102223.7900001,Estados Unidos,78025730.1600001,Fabricación de productos metálicos para uso estructural,45921491.250000104
11,Bogotá,BOGOTA D.C.,409748255.67,114563755.5,Bienes primarios,188976184.6,Estados Unidos,168131265.32,Cultivo de flor de corte,88745351.36
11,Bolívar,BOLIVAR,170088891.21,94905103.48,Manufacturas de tecnología media,118022978.03999999,Brasil,56426151.71,Fabricación de plásticos en formas primarias,65125579.14
11,Boyacá,BOYACA,30622037.75,74772097.49,Manufacturas basadas en recursos naturales,28961744.36,Brasil,19788213.86,Fabricación de productos de hornos de coque,19841572.56
11,Caldas,CALDAS,162886489.62,22721201.17,Bienes primarios,136804074.08,Estados Unidos,50682488.03,Trilla de café,86005528.55
11,Caquetá,CAQUETA,41248.35000000001,8763.2,Manufacturas de tecnología media,41248.35000000001,Guatemala,41248.35000000001,Fabricación de aparatos de uso doméstico,41248.35000000001
11,Casanare,CASANARE,27288917.979999997,65791437.5,Bienes primarios,27264246.979999997,Costa De Marfil,14501183.61,Extracción de petróleo crudo,27264246.979999997
11,Cauca,CAUCA,14983380.4,8308421.09,Bienes primarios,6226775.53,Estados Unidos,3339537.3000000003,Trilla de café,5538757.41
11,Cesar,CESAR,223832974.87,2976372353,Bienes primarios,223474342.91,Países Bajos,37958386.38,Extracción de hulla (carbón de piedra),221592188.55
11,Chocó,CHOCO,337815.64999999997,267711.22,Manufacturas basadas en recursos naturales,337815.64999999997,Francia,241899.87,Industrias básicas de metales preciosos,241899.87
11,Cundinamarca,CUNDINAMARCA,227021664.36,112062889.61,Bienes primarios,110343513.99,Estados Unidos,96531919,Cultivo de flor de corte,65826511.160000004
11,Córdoba,CORDOBA,53233402.43,68096725.77,Manufacturas de tecnología media,42570867.97,China,29495392.56,Industrias básicas de hierro y de acero,42570867.97
11,Guainía,GUAINIA,10812.650000000001,1410.5,Manufacturas de baja tecnología,6712.6500000000005,República Dominicana,6712.6500000000005,Fabricación de artículos de plástico n.c.p.,6712.6500000000005
11,Guajira,LA GUAJIRA,94696750.88,1064590230.38,Bienes primarios,91259833.28,México,23835909.31,Extracción de hulla (carbón de piedra),90951038.16
11,Huila,HUILA,169485834.13,19757168.66,Bienes primarios,169339239.68,Estados Unidos,57919263.07,Trilla de café,164901812.23
11,Magdalena,MAGDALENA,41011456.54,48225054.43,Bienes primarios,40397660.08,Estados Unidos,13087545.01,Cultivo de plátano y banano,25520552.99
11,Meta,META,49538624.3,117730387.71,Bienes primarios,49027631.29,Costa De Marfil,30827722.39,Extracción de petróleo crudo,47746201.75
11,Nariño,NARINO,25900082.17,3655181.84,Bienes primarios,25515037.76,Estados Unidos,9520903.180000002,Trilla de café,24778160.61
