Mes,Departamento,Departamento_join,Nivel tecnologico,fob_total,kg_total
10,Atlántico,ATLANTICO,Bienes primarios,7147018.34,4477993.79
10,Atlántico,ATLANTICO,Manufacturas basadas en recursos naturales,43957286.59,46282237.34
10,Atlántico,ATLANTICO,Manufacturas de alta tecnología,14329589.11,1670387.72
10,Atlántico,ATLANTICO,Manufacturas de baja tecnología,68983632.66,10679230.56
10,Atlántico,ATLANTICO,Manufacturas de tecnología media,28309422.450000003,7707616.13
10,Atlántico,ATLANTICO,Otras transacciones,24665.46,3548.1800000000003
10,Bogotá,BOGOTA D.C.,Bienes primarios,213560725.09,28112008.6
10,Bogotá,BOGOTA D.C.,Manufacturas basadas en recursos naturales,89135706.41,76727241.55
10,Bogotá,BOGOTA D.C.,Manufacturas de alta tecnología,77085909.13,812123.94
10,Bogotá,BOGOTA D.C.,Manufacturas de baja tecnología,45969373.55,6647846.46
10,Bogotá,BOGOTA D.C.,Manufacturas de tecnología media,60313584.65,9339649.33
10,Bogotá,BOGOTA D.C.,Otras transacciones,8890304.74,559356.64
10,Bolívar,BOLIVAR,Bienes primarios,11638889.889999999,3682552.5
10,Bolívar,BOLIVAR,Manufacturas basadas en recursos naturales,19138239.17,17039152.19
10,Bolívar,BOLIVAR,Manufacturas de alta tecnología,856552.2,63227.07
10,Bolívar,BOLIVAR,Manufacturas de baja tecnología,20019896.34,5049155.08
10,Bolívar,BOLIVAR,Manufacturas de tecnología media,134589814.17,81573509.87
10,Bolívar,BOLIVAR,Otras transacciones,8213.56,217.62
10,Boyacá,BOYACA,Bienes primarios,1219441.81,245750.22
10,Boyacá,BOYACA,Manufacturas basadas en recursos naturales,13766444.49,57408865.12
10,Boyacá,BOYACA,Manufacturas de baja tecnología,263377.94,76481.14
10,Caldas,CALDAS,Bienes primarios,67734166.44,8252874.93
10,Caldas,CALDAS,Manufacturas basadas en recursos naturales,14770821.28,6342263.69
10,Caldas,CALDAS,Manufacturas de alta tecnología,408051.45,22549.03
10,Caldas,CALDAS,Manufacturas de baja tecnología,4164579.12,1058785.45
10,Caldas,CALDAS,Manufacturas de tecnología media,8984272.709999999,2135699.46
10,Caldas,CALDAS,Otras transacciones,311.85,110.18
10,Caquetá,CAQUETA,Bienes primarios,34239.74,20160
10,Caquetá,CAQUETA,Manufacturas basadas en recursos naturales,242.88,92.73
10,Casanare,CASANARE,Bienes primarios,14755940.69,35223846
10,Casanare,CASANARE,Manufacturas basadas en recursos naturales,1175,92.42
10,Cauca,CAUCA,Bienes primarios,5625329.77,821373
10,Cauca,CAUCA,Manufacturas basadas en recursos naturales,12786572.17,19069553.26
10,Cauca,CAUCA,Manufacturas de baja tecnología,1562991.48,373007.83999999997
10,Cauca,CAUCA,Manufacturas de tecnología media,4245833.95,2304820.51
10,Cauca,CAUCA,Otras transacciones,307.9,11.5
10,Cesar,CESAR,Bienes primarios,222484641.84,2930926853
10,Cesar,CESAR,Manufacturas basadas en recursos naturales,60993.95000000001,237210.29
10,Cesar,CESAR,Manufacturas de tecnología media,275226,743000
10,Chocó,CHOCO,Manufacturas basadas en recursos naturales,354435.92,1064831.12
10,Cundinamarca,CUNDINAMARCA,Bienes primarios,103478792.65,114457817.66
10,Cundinamarca,CUNDINAMARCA,Manufacturas basadas en recursos naturales,28417436.959999997,54785566.8
10,Cundinamarca,CUNDINAMARCA,Manufacturas de alta tecnología,14939700.879999999,647305.27
10,Cundinamarca,CUNDINAMARCA,Manufacturas de baja tecnología,17602326.74,3852744.21
10,Cundinamarca,CUNDINAMARCA,Manufacturas de tecnología media,41536621.28,7985978.33
10,Cundinamarca,CUNDINAMARCA,Otras transacciones,587288.2000000001,100402.88000000002
10,Córdoba,CORDOBA,Bienes primarios,12885971.65,88310134.34
10,Córdoba,CORDOBA,Manufacturas basadas en recursos naturales,196325.75999999998,193349
10,Córdoba,CORDOBA,Manufacturas de baja tecnología,78672.5,11601.03
10,Córdoba,CORDOBA,Manufacturas de tecnología media,41331514.6,12331930
10,Guainía,GUAINIA,Manufacturas de alta tecnología,2815.8,6.56
10,Guajira,LA GUAJIRA,Bienes primarios,106352675.79,1319407074.4
10,Guajira,LA GUAJIRA,Manufacturas basadas en recursos naturales,399507.12,194155
10,Guajira,LA GUAJIRA,Manufacturas de baja tecnología,136101.34,55961.12
10,Guajira,LA GUAJIRA,Manufacturas de tecnología media,1744020.08,897864
10,Huila,HUILA,Bienes primarios,165782721.99,20681083.39
